Leaf Node Category ID	Category Name (中)		
100587	BE - 女鞋 - 靴子 - 其他		
100585	BE - 女鞋 - 靴子 - 雨鞋		
100586	BE - 女鞋 - 靴子 - 時尚靴		
100603	BE - 女鞋 - 鞋材/ 鞋類周邊 - 其他		
100601	BE - 女鞋 - 鞋材/ 鞋類周邊 - 鞋子清潔/ 鞋子清洗/保養清潔		
100600	BE - 女鞋 - 鞋材/ 鞋類周邊 - 鞋拔/ 鞋撐		
100602	BE - 女鞋 - 鞋材/ 鞋類周邊 - 鞋帶		
100599	BE - 女鞋 - 鞋材/ 鞋類周邊 - 鞋墊/ 後跟貼		
100598	BE - 女鞋 - 鞋材/ 鞋類周邊 - 鞋類除臭		
100729	BE - 戶外與運動用品 - 其他運動及戶外用品		
101329	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 戶外機能配件/戶外包袋		
101323	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 防水包袋與防水套		
101324	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 雨衣		
101325	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 雨傘及雨具		
101328	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 健身及運動護具		
101327	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 運動訓練輔助器材		
101322	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 運動帽、戶外帽		
101321	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 運動頭帶/運動穿戴配件/運動配備		
101320	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 運動護腕 & 運動用品		
101318	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 碼表及運動測量		
101319	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 鞋袋/運動包袋		
101326	BE - 戶外與運動用品 - 運動戶外裝備及配件 - 護齒、運動貼布與肌貼		
101316	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 兒童運動服飾		
101317	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 其他運動及戶外服飾		
101899	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 泳裝/潛水服飾 - 一件式泳裝		
101898	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 泳裝/潛水服飾 - 比基尼		
101900	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 泳裝/潛水服飾 - 水母衣/防磨衣		
101901	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 泳裝/潛水服飾 - 其他水類運動服飾		
101897	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 泳裝/潛水服飾 - 泳褲		
101312	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 球類運動服飾/球衣		
101311	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 運動上著/戶外機能上著		
101313	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 運動下著/戶外機能下著		
101315	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 運動內衣		
101310	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 運動外套/戶外機能外套		
101309	BE - 戶外與運動用品 - 運動服飾/戶外服飾 - 運動套裝		
101287	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 生存遊戲與軍用品		
101865	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 乒乓球 - 乒乓球		
101866	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 乒乓球 - 乒乓球拍		
101867	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 乒乓球 - 乒乓球網		
101868	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 乒乓球 - 其他乒乓球相關用品		
101293	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 划船與獨木舟		
101858	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 羽毛球 - 羽毛球		
101857	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 羽毛球 - 羽毛球拍		
101859	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 羽毛球 - 羽毛球網		
101860	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 羽毛球 - 其他羽毛球相關用品		
101847	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 足球用品 - 足球		
101850	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 足球用品 - 其他足球相關用品		
101848	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 足球用品 - 球門手套與護脛		
101849	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 足球用品 - 球門與球網		
101297	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 其他運動健身與戶外休閒用品		
101842	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 板類運動 - 安全帽與護具		
101843	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 板類運動 - 其他板類運動		
101840	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 板類運動 - 滑板車與單輪車		
101839	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 板類運動 - 滑板與直排輪		
101841	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 板類運動 - 電動滑板車與平衡車		
101296	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 飛鏢		
101844	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 射箭 - 弓		
101846	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 射箭 - 其他射箭用品		
101845	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 射箭 - 箭		
101869	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 拳擊與武術 - 沙袋與沙包		
101872	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 拳擊與武術 - 其他拳擊與武術相關用品		
101870	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 拳擊與武術 - 武術腰帶		
101871	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 拳擊與武術 - 拳擊手套/繃帶/護具		
101877	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 高爾夫 - 其他高爾夫相關用品		
101875	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 高爾夫 - 高爾夫訓練裝備		
101873	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 高爾夫 - 高爾夫球		
101874	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 高爾夫 - 高爾夫球桿		
101876	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 高爾夫 - 高爾夫球袋及包款		
101895	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 引體向上桿及伏地挺身架		
101890	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 重量訓練器材		
101892	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 健身球/瑜珈球		
101893	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 健身器材		
101894	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 健腹輪及滾輪		
101896	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 搖搖杯、運動水壺及其他運動健身用品		
101891	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 健身運動器材 - 跳繩		
101856	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 排球 - 其他排球相關用品		
101854	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 排球 - 排球		
101855	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 排球 - 排球網		
101823	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 其他釣具		
101817	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 釣竿和捲線器		
101821	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 釣魚包及工具箱		
101819	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 釣線		
101818	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 魚群探測器		
101816	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 魚鉤		
101820	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 路亞餌和魚餌		
101822	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 釣魚/釣蝦 - 漁網		
101285	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 棒球與壘球		
101878	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 泳帽		
101879	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 泳鏡		
101880	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 浮板		
101884	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 救生衣		
101883	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 蛙鞋		
101882	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 潛水面罩		
101881	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 潛水燈具		
101885	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 游泳與潛水 - 戲水休閒用品及其他游泳用品		
101838	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 戶外防蟲及其他登山露營用品		
101835	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 吊床及其他戶外可攜式用具		
101834	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 安全求助防身		
101833	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 指南針、指北針		
101830	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 帳篷與相關用品		
101832	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 望遠鏡及相關用品		
101828	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 野炊器具		
101837	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 野餐相關		
101836	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 登山杖、登山用具		
101829	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 照明燈具		
101831	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 登山、露營 - 睡袋寢具及戶外保暖用品		
101291	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 滑雪與冬季運動		
101889	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 瑜珈與皮拉提斯 - 其他瑜珈用品		
101888	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 瑜珈與皮拉提斯 - 阻力帶		
101886	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 瑜珈與皮拉提斯 - 瑜珈墊		
101887	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 瑜珈與皮拉提斯 - 瑜珈磚/瑜珈圈/瑜珈柱		
101826	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 腳踏車、自行車 - 安全帽、小帽及相關穿戴配件		
101824	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 腳踏車、自行車 - 腳踏車、自行車本體		
101827	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 腳踏車、自行車 - 腳踏車周邊用品/車衣車褲		
101825	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 腳踏車、自行車 - 腳踏車零組件與配件		
101864	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 網球 - 其他網球相關用品		
101862	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 網球 - 網球		
101861	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 網球 - 網球拍		
101863	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 網球 - 網球網		
101289	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 撞球		
101290	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 衝浪與滑水		
101286	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 壁球		
101288	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 橄欖球及美式足球		
101274	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 攀岩與抱石		
101853	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 籃球 - 其他籃球相關用品		
101851	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 籃球 - 籃球		
101852	BE - 戶外與運動用品 - 運動健身與戶外休閒 - 籃球 - 籃球框/籃球網		
101303	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 羽毛球鞋		
101306	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 足球鞋		
101307	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 兒童運動鞋 / 兒童運動涼拖鞋		
101308	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 其他運動鞋		
101304	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 室內足球鞋		
101300	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 訓練鞋		
101302	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 排球鞋		
101305	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 登山鞋及其他戶外功能鞋款		
101299	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 慢跑鞋		
101301	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 網球鞋		
101298	BE - 戶外與運動用品 - 運動鞋/戶外鞋 - 籃球鞋		
100073	BE - 手機平板與周邊 - 手機		
100279	BE - 手機平板與周邊 - 手機周邊配件 - 手機支架		
100280	BE - 手機平板與周邊 - 手機周邊配件 - 手機掛繩與吊飾		
100283	BE - 手機平板與周邊 - 手機周邊配件 - 手機袋/ 防水袋		
100483	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 充電座/ 充電盤		
100482	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 充電器		
100484	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 其他		
100480	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 旅遊轉接頭		
100479	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 集線器		
100481	BE - 手機平板與周邊 - 手機周邊配件 - 充電傳輸與轉接設備 - 傳輸線/轉接頭		
100276	BE - 手機平板與周邊 - 手機周邊配件 - 自拍補光燈		
100487	BE - 手機平板與周邊 - 手機周邊配件 - 行動電源與電池 - 充電手機殼		
100486	BE - 手機平板與周邊 - 手機周邊配件 - 行動電源與電池 - 行動電源		
100488	BE - 手機平板與周邊 - 手機周邊配件 - 行動電源與電池 - 其他		
100485	BE - 手機平板與周邊 - 手機周邊配件 - 行動電源與電池 - 電池		
100291	BE - 手機平板與周邊 - 手機周邊配件 - 其他		
100475	BE - 手機平板與周邊 - 手機周邊配件 - 拍照周邊 - 自拍棒		
100478	BE - 手機平板與周邊 - 手機周邊配件 - 拍照周邊 - 其他		
100477	BE - 手機平板與周邊 - 手機周邊配件 - 拍照周邊 - 藍牙自拍棒/ 線控自拍棒		
100476	BE - 手機平板與周邊 - 手機周邊配件 - 拍照周邊 - 懶人立架/ 懶人支架		
100490	BE - 手機平板與周邊 - 手機周邊配件 - 保護殼 - 手機保護周邊		
100489	BE - 手機平板與周邊 - 手機周邊配件 - 保護殼 - 平板保護周邊		
100491	BE - 手機平板與周邊 - 手機周邊配件 - 保護殼 - 其他		
100288	BE - 手機平板與周邊 - 手機周邊配件 - 穿戴裝置配件		
100281	BE - 手機平板與周邊 - 手機周邊配件 - 記憶卡		
100275	BE - 手機平板與周邊 - 手機周邊配件 - 廣角鏡頭		
100289	BE - 手機平板與周邊 - 手機周邊配件 - 螢幕保護貼		
100282	BE - 手機平板與周邊 - 手機周邊配件 - 轉接電視棒/ HDMI分享器		
100278	BE - 手機平板與周邊 - 手機周邊配件 - 觸控筆		
100277	BE - 手機平板與周邊 - 手機周邊配件 - USB風扇/ 手持風扇		
100285	BE - 手機平板與周邊 - 手機周邊配件 - USB隨行燈		
100286	BE - 手機平板與周邊 - 手機周邊配件 - Wifi隨身路由器		
100072	BE - 手機平板與周邊 - 平板電腦		
100077	BE - 手機平板與周邊 - 其他		
100273	BE - 手機平板與周邊 - 穿戴裝置 - 其他		
100270	BE - 手機平板與周邊 - 穿戴裝置 - 智慧手錶與手環		
100272	BE - 手機平板與周邊 - 穿戴裝置 - GPS紀錄器		
100271	BE - 手機平板與周邊 - 穿戴裝置 - VR設備		
100071	BE - 手機平板與周邊 - 電話、儲值卡		
100076	BE - 手機平板與周邊 - 對講機		
100573	BE - 手錶 - 女錶		
100618	BE - 手錶 - 手錶配件 - 手錶收納盒		
100617	BE - 手錶 - 手錶配件 - 手錶電池		
100615	BE - 手錶 - 手錶配件 - 手錶維修工具		
100616	BE - 手錶 - 手錶配件 - 手錶錶扣		
100614	BE - 手錶 - 手錶配件 - 手錶錶帶		
100619	BE - 手錶 - 手錶配件 - 其他手錶配件		
100574	BE - 手錶 - 男錶		
100577	BE - 手錶 - 其他		
100575	BE - 手錶 - 情侶對錶/手錶禮盒		
101342	BE - 文具、美術用具 - 文具用品、修正用品 - 其他		
101340	BE - 文具、美術用具 - 文具用品、修正用品 - 麥克筆		
101337	BE - 文具、美術用具 - 文具用品、修正用品 - 筆和墨水		
101338	BE - 文具、美術用具 - 文具用品、修正用品 - 鉛筆		
101339	BE - 文具、美術用具 - 文具用品、修正用品 - 橡皮擦、修正用品		
101341	BE - 文具、美術用具 - 文具用品、修正用品 - 螢光筆		
100736	BE - 文具、美術用具 - 其他		
101384	BE - 文具、美術用具 - 信紙、信封 - 其他		
101382	BE - 文具、美術用具 - 信紙、信封 - 明信片		
101381	BE - 文具、美術用具 - 信紙、信封 - 信封、紅包袋		
101383	BE - 文具、美術用具 - 信紙、信封 - 郵票		
101363	BE - 文具、美術用具 - 美術用具 - 水彩、廣告顏料		
101370	BE - 文具、美術用具 - 美術用具 - 其他		
101364	BE - 文具、美術用具 - 美術用具 - 油畫顏料		
101369	BE - 文具、美術用具 - 美術用具 - 素描本		
101361	BE - 文具、美術用具 - 美術用具 - 彩色鉛筆		
101368	BE - 文具、美術用具 - 美術用具 - 畫布、畫架		
101366	BE - 文具、美術用具 - 美術用具 - 畫筆、刷具		
101367	BE - 文具、美術用具 - 美術用具 - 調色盤		
101365	BE - 文具、美術用具 - 美術用具 - 壓克力顏料		
101362	BE - 文具、美術用具 - 美術用具 - 蠟筆、粉彩筆		
101380	BE - 文具、美術用具 - 筆記本、紙製品 - 其他		
101375	BE - 文具、美術用具 - 筆記本、紙製品 - 活頁紙		
101377	BE - 文具、美術用具 - 筆記本、紙製品 - 美術紙、硬紙板		
101372	BE - 文具、美術用具 - 筆記本、紙製品 - 書套		
101371	BE - 文具、美術用具 - 筆記本、紙製品 - 書籤		
101376	BE - 文具、美術用具 - 筆記本、紙製品 - 備忘錄、便利貼		
101378	BE - 文具、美術用具 - 筆記本、紙製品 - 筆記本、記事本		
101373	BE - 文具、美術用具 - 筆記本、紙製品 - 感熱紙、打印紙		
101374	BE - 文具、美術用具 - 筆記本、紙製品 - 影印紙		
101379	BE - 文具、美術用具 - 筆記本、紙製品 - 標籤、貼紙		
101357	BE - 文具、美術用具 - 學校、辦公用品 - 尺、量角器		
101356	BE - 文具、美術用具 - 學校、辦公用品 - 文件夾、資料夾		
101351	BE - 文具、美術用具 - 學校、辦公用品 - 打孔器、打洞機		
101353	BE - 文具、美術用具 - 學校、辦公用品 - 印章墨水、印章、印泥		
101355	BE - 文具、美術用具 - 學校、辦公用品 - 行事曆、桌曆、年曆		
101350	BE - 文具、美術用具 - 學校、辦公用品 - 夾子、別針、大頭針、迴紋針		
101360	BE - 文具、美術用具 - 學校、辦公用品 - 其他		
101358	BE - 文具、美術用具 - 學校、辦公用品 - 削鉛筆機		
101345	BE - 文具、美術用具 - 學校、辦公用品 - 美工刀、裁切紙機		
101354	BE - 文具、美術用具 - 學校、辦公用品 - 訂書機、訂書釘		
101344	BE - 文具、美術用具 - 學校、辦公用品 - 計算器		
101352	BE - 文具、美術用具 - 學校、辦公用品 - 剪刀		
101359	BE - 文具、美術用具 - 學校、辦公用品 - 鉛筆盒		
101343	BE - 文具、美術用具 - 學校、辦公用品 - 寫字板、黑板、白板		
101348	BE - 文具、美術用具 - 學校、辦公用品 - 標籤打印機		
101347	BE - 文具、美術用具 - 學校、辦公用品 - 膠水		
101346	BE - 文具、美術用具 - 學校、辦公用品 - 膠帶		
101349	BE - 文具、美術用具 - 學校、辦公用品 - 頸掛繩、證件夾套、識別證		
101336	BE - 文具、美術用具 - 禮品盒、包裝材料 - 其他		
101334	BE - 文具、美術用具 - 禮品盒、包裝材料 - 泡泡紙		
101335	BE - 文具、美術用具 - 禮品盒、包裝材料 - 紙箱		
101333	BE - 文具、美術用具 - 禮品盒、包裝材料 - 緞帶		
101330	BE - 文具、美術用具 - 禮品盒、包裝材料 - 禮品包裝紙		
101331	BE - 文具、美術用具 - 禮品盒、包裝材料 - 禮品盒		
101332	BE - 文具、美術用具 - 禮品盒、包裝材料 - 禮品袋		
